code;from;to;departure;length;price,tickets
CM 2201;BUD;LTN;2016-05-29 06:00;2:35;80;20
CM 2203;BUD;LTN;2016-05-29 09:00;2:35;80;17
CM 2205;BUD;LTN;2016-05-29 12:20;2:35;100;0
CM 2201;BUD;LTN;2016-05-30 06:00;2:35;100;3
CM 2203;BUD;LTN;2016-05-30 09:00;2:35;120;5
CM 2205;BUD;LTN;2016-05-30 12:20;2:35;80;5
CM 2201;BUD;LTN;2016-05-31 06:00;2:35;80;5
CM 2203;BUD;LTN;2016-05-31 09:00;2:35;160;5
CM 2205;BUD;LTN;2016-05-31 12:20;2:35;100;5

CM 2202;LTN;BUD;2016-06-10 08:10;2:25;120;5
CM 2204;LTN;BUD;2016-06-10 11:10;2:25;160;5
CM 2206;LTN;BUD;2016-06-10 14:30;2:25;100;5
CM 2202;LTN;BUD;2016-06-11 08:10;2:25;180;5
CM 2204;LTN;BUD;2016-06-11 11:10;2:25;200;0
CM 2206;LTN;BUD;2016-06-11 14:30;2:25;80;5
CM 2202;LTN;BUD;2016-06-12 08:10;2:25;180;5
CM 2204;LTN;BUD;2016-06-12 11:10;2:25;200;5
CM 2206;LTN;BUD;2016-06-12 14:30;2:25;80;5

CM 1101;BUD;IBZ;2016-06-13 21:25;3:50;150;6
CM 1101;BUD;IBZ;2016-06-20 21:25;3:50;150;6
CM 1101;BUD;IBZ;2016-06-27 21:25;3:50;100;6

CM 1101;IBZ;BUD;2016-06-14 00:55;3:40;300;6
CM 1101;IBZ;BUD;2016-06-21 00:55;3:40;220;6
CM 1101;IBZ;BUD;2016-06-28 00:55;3:40;220;6

