"Timestamp","First language","Second language","Third language"
"2017/10/20 10:41:45 AM GMT+2","Perl","JavaScript","C"
"2017/10/20 10:42:13 AM GMT+2","Java","JavaScript","Python"
"2017/10/20 10:54:53 AM GMT+2","Perl","JavaScript","C"
"2017/10/20 10:56:45 AM GMT+2","C#","Ruby","Bash"
"2017/10/20 11:14:07 AM GMT+2","Python","Perl","JavaScript"
"2017/10/20 11:15:55 AM GMT+2","Perl","PHP","Python"
"2017/10/20 11:17:45 AM GMT+2","Perl","Java","Python"
"2017/10/20 11:17:49 AM GMT+2","Perl","Java","JavaScript"
"2017/10/20 11:18:59 AM GMT+2","Perl","Java","JavaScript"
"2017/10/20 11:23:16 AM GMT+2","Perl","Python","JavaScript"
"2017/10/20 11:31:08 AM GMT+2","Perl","Bash","JavaScript"
"2017/10/20 11:32:15 AM GMT+2","Python","Perl","C++"
"2017/10/20 11:41:09 AM GMT+2","Java","JavaScript","C#"
"2017/10/20 11:42:32 AM GMT+2","Python","Perl","C++"
"2017/10/20 11:43:40 AM GMT+2","Perl","Python","JavaScript"
"2017/10/20 11:43:42 AM GMT+2","Perl","JavaScript","Go"
"2017/10/20 11:44:28 AM GMT+2","Python","Go","Swift"
"2017/10/20 11:46:21 AM GMT+2","Perl","Go","C++"
"2017/10/20 11:46:29 AM GMT+2","Perl","Java","C"
"2017/10/20 12:03:28 PM GMT+2","Delphi/Pascal","Perl","PHP"
"2017/10/20 12:10:30 PM GMT+2","Python","JavaScript","Perl"
"2017/10/20 12:13:07 PM GMT+2","Java","Go","C"
"2017/10/20 12:15:29 PM GMT+2","Python","JavaScript","PHP"
"2017/10/20 12:15:59 PM GMT+2","C++","Perl","Python"
"2017/10/20 12:17:48 PM GMT+2","Python","Ruby","C"
"2017/10/20 12:21:01 PM GMT+2","Perl","Python","PHP"
"2017/10/20 12:23:12 PM GMT+2","Perl","C","C++"
"2017/10/20 12:24:28 PM GMT+2","Perl","JavaScript","Bash"
