"Timestamp","Which CI systems do you use?"
"2017/10/30 11:02:20 AM GMT+2","Jenkins"
"2017/10/30 11:04:57 AM GMT+2","TeamCity;In-house CI system"
"2017/10/30 11:05:06 AM GMT+2","Jenkins"
"2017/10/30 11:06:02 AM GMT+2","Travis-CI"
"2017/10/30 11:07:28 AM GMT+2","Jenkins"
"2017/10/30 11:07:28 AM GMT+2","GitLab CI"
"2017/10/30 11:13:12 AM GMT+2","GitLab CI;Jenkins;OVH CDS"
"2017/10/30 11:13:34 AM GMT+2","Go CD"
"2017/10/30 11:15:33 AM GMT+2","Buildbot;CircleCI;bitbucket pipelines"
"2017/10/30 11:19:51 AM GMT+2","GitLab CI;Jenkins;Travis-CI"
"2017/10/30 11:29:41 AM GMT+2","We don't use CI at work;I don't use CI for my own projects"
"2017/10/30 11:34:22 AM GMT+2","Travis-CI"
"2017/10/30 11:36:17 AM GMT+2","We don't use CI at work"
"2017/10/30 11:38:10 AM GMT+2","Jenkins;IBM Synergy"
"2017/10/30 11:51:06 AM GMT+2","Jenkins;I don't use CI for my own projects;In-house CI system"
"2017/10/30 12:20:36 PM GMT+2","Appveyor;GitLab CI;Travis-CI"
"2017/10/30 12:28:20 PM GMT+2","I don't use CI for my own projects"
"2017/10/30 12:59:59 PM GMT+2","GitLab CI;Travis-CI"
"2017/10/30 1:11:53 PM GMT+2","Jenkins"
"2017/10/30 1:39:09 PM GMT+2","I don't use a continuous integration system per se---it is part of my standard workflow."
"2017/10/30 2:08:58 PM GMT+2","Appveyor;Travis-CI"
"2017/10/30 2:18:56 PM GMT+2","GitLab CI;Travis-CI"
"2017/10/30 2:30:10 PM GMT+2","CruiseControl"
"2017/10/30 2:58:38 PM GMT+2","Jenkins"
"2017/10/30 3:02:04 PM GMT+2","Jenkins;I don't use CI for my own projects"
"2017/10/30 3:03:07 PM GMT+2","Jenkins;I don't use CI for my own projects"
"2017/10/30 3:03:15 PM GMT+2","In-house CI system"
"2017/10/30 3:09:31 PM GMT+2","Jenkins"
"2017/10/30 3:13:30 PM GMT+2","Jenkins"
"2017/10/30 3:20:08 PM GMT+2","Buildbot;CircleCI;Jenkins"
"2017/10/30 3:31:52 PM GMT+2","Travis-CI"
"2017/10/30 3:53:11 PM GMT+2","Jenkins"
"2017/10/30 4:00:20 PM GMT+2","Jenkins"
"2017/10/30 4:05:14 PM GMT+2","SemaphoreCI"
"2017/10/30 4:18:31 PM GMT+2","We don't use CI at work"
"2017/10/30 4:24:01 PM GMT+2","Bamboo;Jenkins;In-house CI system"
"2017/10/30 4:33:20 PM GMT+2","AWS CodeBuild !!!"
"2017/10/30 4:33:37 PM GMT+2","Jenkins"
"2017/10/30 5:08:02 PM GMT+2","GitLab CI;Semaphore-CI with Github"
"2017/10/30 5:08:18 PM GMT+2","Jenkins"
"2017/10/30 5:19:11 PM GMT+2","We don't use CI at work"
"2017/10/30 6:05:57 PM GMT+2","Jenkins"
"2017/10/30 6:09:57 PM GMT+2","Buildbot;Jenkins;Travis-CI"
"2017/10/30 6:26:10 PM GMT+2","I don't use CI for my own projects"
"2017/10/30 6:31:59 PM GMT+2","Bamboo;Jenkins;Travis-CI"
"2017/10/30 7:17:26 PM GMT+2","Appveyor;Travis-CI"
"2017/10/30 8:15:03 PM GMT+2","Jenkins;Travis-CI;TeamCity"
"2017/10/30 8:27:34 PM GMT+2","Jenkins"
"2017/10/30 8:28:29 PM GMT+2","Jenkins"
"2017/10/30 8:28:37 PM GMT+2","Jenkins"
"2017/10/30 8:29:59 PM GMT+2","Codeship;TeamCity"
"2017/10/30 8:31:22 PM GMT+2","Docker Cloud"
"2017/10/30 8:32:26 PM GMT+2","Jenkins"
"2017/10/30 8:32:39 PM GMT+2","Jenkins"
"2017/10/30 8:34:25 PM GMT+2","GitLab CI"
"2017/10/30 8:37:28 PM GMT+2","We don't use CI at work;I don't use CI for my own projects"
"2017/10/30 8:39:26 PM GMT+2","In-house CI system"
"2017/10/30 8:42:22 PM GMT+2","CruiseControl"
"2017/10/30 8:42:33 PM GMT+2","I don't use CI for my own projects"
"2017/10/30 8:46:35 PM GMT+2","Jenkins"
"2017/10/30 8:53:35 PM GMT+2","Jenkins"
"2017/10/30 8:53:53 PM GMT+2","Jenkins"
"2017/10/30 8:58:53 PM GMT+2","Jenkins"
"2017/10/30 9:05:28 PM GMT+2","Jenkins"
"2017/10/30 9:08:44 PM GMT+2","TeamCity"
"2017/10/30 9:17:14 PM GMT+2","GitLab CI"
"2017/10/30 9:30:02 PM GMT+2","CircleCI;TeamCity"
"2017/10/30 9:30:23 PM GMT+2","Appveyor;CircleCI;Travis-CI"
"2017/10/30 9:37:58 PM GMT+2","Buildbot"
"2017/10/30 9:41:32 PM GMT+2","Jenkins"
"2017/10/30 9:56:40 PM GMT+2","Buildbot"
"2017/10/30 10:03:46 PM GMT+2","Jenkins;I don't use CI for my own projects"
"2017/10/30 10:06:46 PM GMT+2","GitLab CI"
"2017/10/30 10:06:52 PM GMT+2","GitLab CI;Jenkins"
"2017/10/30 10:16:20 PM GMT+2","CircleCI;Jenkins;Travis-CI;Bitrise"
"2017/10/30 10:25:40 PM GMT+2","Jenkins"
"2017/10/30 10:26:44 PM GMT+2","TeamCity"
"2017/10/30 10:33:22 PM GMT+2","Jenkins"
"2017/10/30 10:36:23 PM GMT+2","Jenkins"
"2017/10/30 10:36:31 PM GMT+2","Bamboo;GitLab CI"
"2017/10/30 10:49:16 PM GMT+2","Bamboo;Jenkins;I don't use CI for my own projects"
"2017/10/30 10:50:30 PM GMT+2","Bamboo;Bitbucket Pipelines;Jenkins"
"2017/10/30 10:53:36 PM GMT+2","GitLab CI"
"2017/10/30 10:54:23 PM GMT+2","GitLab CI"
"2017/10/30 10:59:19 PM GMT+2","GitLab CI;Jenkins"
"2017/10/30 11:04:52 PM GMT+2","CircleCI;Travis-CI"
"2017/10/30 11:15:03 PM GMT+2","Jenkins"
"2017/10/30 11:15:11 PM GMT+2","Jenkins"
"2017/10/30 11:18:10 PM GMT+2","Jenkins"
"2017/10/30 11:38:21 PM GMT+2","I don't use CI for my own projects"
"2017/10/30 11:55:07 PM GMT+2","GitLab CI"
"2017/10/30 11:57:08 PM GMT+2","TeamCity"
"2017/10/31 12:24:53 AM GMT+2","Bitbucket Pipelines;Jenkins;Travis-CI"
"2017/10/31 12:46:12 AM GMT+2","Appveyor;Travis-CI"
"2017/10/31 1:00:09 AM GMT+2","Jenkins"
"2017/10/31 1:50:14 AM GMT+2","Jenkins;TeamCity"
"2017/10/31 1:55:55 AM GMT+2","Jenkins"
"2017/10/31 1:59:25 AM GMT+2","I don't use CI for my own projects"
"2017/10/31 2:02:02 AM GMT+2","We don't use CI at work"
"2017/10/31 2:08:32 AM GMT+2","Bamboo;Jenkins"
"2017/10/31 2:25:57 AM GMT+2","TeamCity"
"2017/10/31 3:01:07 AM GMT+2","Travis-CI;I don't use CI for my own projects"
"2017/10/31 3:19:16 AM GMT+2","Codeship"
"2017/10/31 3:24:00 AM GMT+2","Codeship"
"2017/10/31 3:57:32 AM GMT+2","AWS CodeBuild;Bitbucket Pipelines;VSTS"
"2017/10/31 3:58:31 AM GMT+2","AWS CodeBuild"
"2017/10/31 4:05:32 AM GMT+2","Codeship"
"2017/10/31 4:06:25 AM GMT+2","GitLab CI"
"2017/10/31 6:56:10 AM GMT+2","AWS CodeBuild"
"2017/10/31 6:57:58 AM GMT+2","AWS CodeBuild;Jenkins"
"2017/10/31 6:59:08 AM GMT+2","Appveyor;AWS CodeBuild;CircleCI;GitLab CI"
"2017/10/31 8:07:22 AM GMT+2","I don't use CI for my own projects"
"2017/10/31 8:08:49 AM GMT+2","Semaphore CI"
"2017/10/31 8:09:02 AM GMT+2","Jenkins"
"2017/10/31 8:33:59 AM GMT+2","IBM Rational Synergy"
"2017/10/31 9:06:51 AM GMT+2","GitLab CI;Travis-CI"
"2017/10/31 9:09:42 AM GMT+2","Jenkins"
"2017/10/31 9:12:07 AM GMT+2","GitLab CI;Travis-CI"
"2017/10/31 9:18:26 AM GMT+2","Jenkins"
"2017/10/31 9:18:40 AM GMT+2","CircleCI;Go CD;Jenkins;In-house CI system"
"2017/10/31 9:23:20 AM GMT+2","Buildbot"
"2017/10/31 9:32:01 AM GMT+2","Bitbucket Pipelines;CircleCI"
"2017/10/31 9:34:16 AM GMT+2","We don't use CI at work"
"2017/10/31 9:36:23 AM GMT+2","We don't use CI at work;I don't use CI for my own projects"
"2017/10/31 9:41:43 AM GMT+2","We don't use CI at work;I don't use CI for my own projects"
"2017/10/31 11:07:09 AM GMT+2","Jenkins;Travis-CI"
"2017/10/31 11:14:37 AM GMT+2","Appveyor;Travis-CI"
"2017/10/31 11:26:36 AM GMT+2","Jenkins"
"2017/10/31 11:34:05 AM GMT+2","Jenkins"
"2017/10/31 11:46:15 AM GMT+2","Appveyor;GitLab CI;Travis-CI"
"2017/10/31 11:53:43 AM GMT+2","Travis-CI"
"2017/10/31 12:16:11 PM GMT+2","We don't use CI at work;I don't use CI for my own projects"
"2017/10/31 12:23:52 PM GMT+2","GitLab CI"
"2017/10/31 12:26:15 PM GMT+2","I don't use CI for my own projects"
"2017/10/31 1:02:43 PM GMT+2","I don't use CI for my own projects"
"2017/10/31 1:07:51 PM GMT+2","We don't use CI at work"
"2017/10/31 1:17:40 PM GMT+2","GitLab CI"
"2017/10/31 1:41:11 PM GMT+2","Jenkins;I don't use CI for my own projects"
"2017/10/31 1:54:05 PM GMT+2","Jenkins"
"2017/10/31 2:00:54 PM GMT+2","I don't use CI for my own projects"
"2017/10/31 2:01:54 PM GMT+2","I don't use CI for my own projects"
"2017/10/31 2:12:25 PM GMT+2","I don't use CI for my own projects"
"2017/10/31 2:19:43 PM GMT+2","Travis-CI"
"2017/10/31 2:45:48 PM GMT+2","AWS CodeBuild"
"2017/10/31 2:46:16 PM GMT+2","We don't use CI at work"
"2017/10/31 3:01:07 PM GMT+2","Jenkins"
"2017/10/31 3:12:49 PM GMT+2","Bamboo"
"2017/10/31 3:36:27 PM GMT+2","CircleCI;In-house CI system"
"2017/10/31 3:47:57 PM GMT+2","Jenkins;Semaphore CI"
"2017/10/31 4:20:17 PM GMT+2","We don't use CI at work"
"2017/10/31 4:24:07 PM GMT+2","Travis-CI;TeamCity"
"2017/10/31 4:57:58 PM GMT+2","I don't use CI for my own projects"
